strategy_id,label,dna,n_params,robustness_score,eligible,n_profitable_assets,n_assets,total_trades,min_trades_per_asset,avg_profit_factor,avg_sharpe,cross_asset_sharpe_std,BTCUSD_daily_trades,BTCUSD_daily_return_pct,BTCUSD_daily_pf,BTCUSD_daily_sharpe,BTCUSD_hourly_trades,BTCUSD_hourly_return_pct,BTCUSD_hourly_pf,BTCUSD_hourly_sharpe,EURUSDX_daily_trades,EURUSDX_daily_return_pct,EURUSDX_daily_pf,EURUSDX_daily_sharpe,EURUSDX_hourly_trades,EURUSDX_hourly_return_pct,EURUSDX_hourly_pf,EURUSDX_hourly_sharpe,GLD_daily_trades,GLD_daily_return_pct,GLD_daily_pf,GLD_daily_sharpe,GLD_hourly_trades,GLD_hourly_return_pct,GLD_hourly_pf,GLD_hourly_sharpe,SPY_daily_trades,SPY_daily_return_pct,SPY_daily_pf,SPY_daily_sharpe,SPY_hourly_trades,SPY_hourly_return_pct,SPY_hourly_pf,SPY_hourly_sharpe,TNX_daily_trades,TNX_daily_return_pct,TNX_daily_pf,TNX_daily_sharpe,TNX_hourly_trades,TNX_hourly_return_pct,TNX_hourly_pf,TNX_hourly_sharpe
S3916590,SHORT: prev_close + 1.5xATR(40)  |  filter=time_window_open  |  exit=ATR stop 1.0x / target 5.0x,prev_close|time_window_open|atr_stop_target|short,6,12.1,False,1,10,1472,57,0.91,-0.2,0.3,104,-61.1,0.81,-0.23,89,-11.2,0.73,-0.81,57,-0.9,1.0,0.0,68,-2.0,0.72,-0.69,146,-28.7,0.82,-0.18,107,-12.4,0.75,-0.73,181,-20.3,0.93,-0.05,72,-5.5,0.79,-0.53,579,115.7,1.22,0.18,69,-5.3,0.84,-0.4
S2543765,SHORT: hod_running + 0.75xATR(30)  |  filter=atr_expansion(1.0)  |  exit=EOD (close at end of session),hod_running|atr_expansion|eod_exit|short,4,12.0,False,2,10,1552,0,1.14,0.17,1.27,0,0.0,,,518,-67.2,0.77,-1.4,0,0.0,,,431,-4.9,0.91,-0.48,0,0.0,,,209,-0.8,0.99,-0.05,0,0.0,,,183,3.8,1.11,0.33,0,0.0,,,211,35.4,1.9,2.44
S4428683,SHORT: sma50 + 2.5xATR(20)  |  filter=adx_master_filter  |  exit=ATR stop 2.5x / target 5.0x,sma50|adx_master_filter|atr_stop_target|short,6,11.8,False,2,10,1149,39,1.03,-0.0,0.79,57,-82.2,0.72,-0.32,246,48.1,1.22,0.94,57,11.9,1.26,0.15,175,-6.3,0.79,-1.0,59,-66.8,0.39,-0.66,52,-14.9,0.73,-0.71,90,-41.8,0.84,-0.12,49,-18.7,0.55,-1.19,325,-20.0,1.07,0.05,39,-5.3,0.85,-0.32
S0137692,SHORT: highest_high_10 + 1.0xATR(30)  |  filter=time_window_close  |  exit=ATR stop 1.5x / target 4.0x,highest_high_10|time_window_close|atr_stop_target|short,6,11.7,False,1,10,1729,0,0.88,-0.55,0.46,0,0.0,,,748,-26.0,0.95,-0.43,0,0.0,,,446,1.0,1.02,0.14,0,0.0,,,187,-8.8,0.92,-0.33,0,0.0,,,179,-18.1,0.77,-1.03,0,0.0,,,169,-23.8,0.76,-1.08
S4151859,LONG: lod_running + 2.0xATR(20)  |  filter=time_window_close  |  exit=stop@POI / target 1.5xATR,lod_running|time_window_close|poi_anchored_stop|long,5,11.7,False,1,10,1341,0,1.03,0.04,0.6,0,0.0,,,657,-0.5,1.02,0.11,0,0.0,,,357,-2.6,0.94,-0.36,0,0.0,,,106,-9.5,0.82,-0.58,0,0.0,,,129,12.4,1.32,0.99,0,0.0,,,92,-1.7,0.98,-0.06
S4346163,SHORT: highest_high_10 + 0.5xATR(40)  |  filter=time_window_close  |  exit=ATR stop 1.5x / target 1.5x,highest_high_10|time_window_close|atr_stop_target|short,6,11.5,False,1,10,2848,0,0.9,-0.66,0.84,0,0.0,,,1170,-26.3,0.95,-0.57,0,0.0,,,703,5.8,1.1,0.84,0,0.0,,,326,-29.4,0.75,-1.68,0,0.0,,,321,-13.3,0.87,-0.8,0,0.0,,,328,-23.0,0.84,-1.1
S8826207,SHORT: prev_high + 1.0xATR(40)  |  filter=atr_expansion(1.0)  |  exit=time(10 bars),prev_high|atr_expansion|time_exit|short,5,11.5,False,1,10,2909,112,0.84,-0.46,0.79,149,-99.9,0.48,-0.86,671,-72.4,0.76,-1.84,175,-6.6,0.98,-0.02,464,-5.8,0.89,-0.62,191,-73.3,0.65,-0.47,127,-5.0,0.96,-0.13,284,-92.3,0.57,-0.6,112,-22.9,0.62,-1.27,613,-60.4,0.98,-0.02,123,26.4,1.49,1.25
S8509664,SHORT: highest_high_10 + 2.0xATR(40)  |  filter=time_window_close  |  exit=time(20 bars),highest_high_10|time_window_close|time_exit|short,5,11.4,False,0,10,1062,0,0.89,-0.57,0.05,0,0.0,,,446,-38.7,0.89,-0.62,0,0.0,,,343,-5.5,0.89,-0.53,0,0.0,,,93,-26.2,0.73,-0.79,0,0.0,,,83,-18.6,0.66,-0.89,0,0.0,,,97,-26.0,0.66,-1.15
S4700993,SHORT: lod_running + 0.5xATR(20)  |  filter=adx_master_filter  |  exit=EOD (close at end of session),lod_running|adx_master_filter|eod_exit|short,4,11.4,False,2,10,597,0,0.9,-0.4,0.58,0,0.0,,,247,3.2,1.05,0.18,0,0.0,,,185,-6.4,0.74,-0.99,0,0.0,,,57,-0.2,0.99,-0.02,0,0.0,,,51,-2.2,0.84,-0.3,0,0.0,,,57,23.0,4.78,3.06
S0554564,LONG: hod_running + 0.5xATR(40)  |  filter=time_window_open  |  exit=ATR stop 3.0x / target 2.0x,hod_running|time_window_open|atr_stop_target|long,6,11.2,False,2,10,424,0,0.87,-0.56,0.54,0,0.0,,,171,-2.1,1.0,-0.02,0,0.0,,,129,-5.1,0.74,-1.09,0,0.0,,,41,5.3,1.28,0.53,0,0.0,,,35,-0.7,0.97,-0.05,0,0.0,,,48,4.4,1.16,0.34
S2992244,SHORT: hod_running + 3.0xATR(10)  |  filter=adx_trend(20)  |  exit=ATR stop 1.0x / target 4.0x,hod_running|adx_trend|atr_stop_target|short,6,11.2,False,3,10,973,0,0.9,-0.64,1.07,0,0.0,,,528,15.2,1.07,0.43,0,0.0,,,363,-9.6,0.72,-1.71,0,0.0,,,37,-5.6,0.66,-0.67,0,0.0,,,30,0.3,1.04,0.06,0,0.0,,,15,0.3,1.07,0.08
S8490121,SHORT: donchian_low20 + 0.5xATR(10)  |  filter=time_window_close  |  exit=EOD (close at end of session),donchian_low20|time_window_close|eod_exit|short,4,11.1,False,1,10,175,0,0.74,-0.78,0.0,0,0.0,,,109,-12.9,0.74,-0.78,0,0.0,,,46,-0.7,0.82,-0.26,0,0.0,,,4,0.4,6.65,1.36,0,0.0,,,12,-0.5,0.82,-0.18,0,0.0,,,4,-0.5,0.53,-0.32
S8410096,SHORT: prev_close + 2.5xATR(30)  |  filter=atr_expansion(1.3)  |  exit=time(5 bars),prev_close|atr_expansion|time_exit|short,5,11.0,False,4,10,215,4,0.0,0.0,0.0,9,-18.0,0.71,-0.11,50,-14.4,0.58,-1.03,6,-16.4,0.08,-0.35,22,3.3,3.71,1.31,13,-5.8,0.76,-0.08,18,0.3,1.05,0.05,12,13.5,1.64,0.12,11,1.5,1.41,0.33,70,-39.1,0.69,-0.07,4,-1.3,0.47,-0.5
S9697288,LONG: prev_high + 1.5xATR(30)  |  filter=time_window_mid  |  exit=ATR stop 2.0x / target 2.0x,prev_high|time_window_mid|atr_stop_target|long,6,11.0,False,4,10,181,0,0.0,0.0,0.0,0,0.0,,,96,10.2,1.22,0.66,0,0.0,,,82,-0.4,0.96,-0.13,0,0.0,,,1,1.4,999.0,,0,0.0,,,1,3.4,999.0,,0,0.0,,,1,0.9,999.0,
S2227514,SHORT: session_open + 2.5xATR(14)  |  filter=adx_trend(15)  |  exit=ATR stop 3.0x / target 3.0x,session_open|adx_trend|atr_stop_target|short,6,11.0,False,4,10,152,0,0.0,0.0,0.0,16,-14.3,0.96,-0.02,67,-3.4,0.96,-0.11,0,0.0,,,30,2.2,1.61,0.84,2,1.2,1.4,0.05,9,-5.6,0.5,-0.65,11,-11.5,0.53,-0.16,10,1.5,1.39,0.34,0,0.0,,,7,4.1,2.41,0.82
S8484502,SHORT: lod_running + 1.5xATR(30)  |  filter=adx_master_filter  |  exit=stop@POI / target 5.0xATR,lod_running|adx_master_filter|poi_anchored_stop|short,5,10.9,False,4,10,141,0,0.0,0.0,0.0,0,0.0,,,80,1.5,1.05,0.12,0,0.0,,,43,-1.6,0.79,-0.48,0,0.0,,,8,1.6,1.28,0.21,0,0.0,,,7,3.1,1.99,0.54,0,0.0,,,3,4.1,10.24,1.29
S6507029,SHORT: prev_low + 3.0xATR(14)  |  filter=shallow_pullback_short(0.75)  |  exit=time(15 bars),prev_low|shallow_pullback_short|time_exit|short,5,10.9,False,4,10,92,1,0.0,0.0,0.0,5,-3.2,1.16,0.03,14,17.7,5.65,1.32,1,3.3,999.0,,5,-1.9,0.04,-1.29,2,-3.6,0.11,-0.24,7,3.9,2.1,0.49,4,-13.2,0.18,-0.21,6,-0.1,0.98,-0.02,45,24.5,1.59,0.14,3,-2.1,0.0,-1.16
S3305233,LONG: session_open + 2.5xATR(10)  |  filter=shallow_pullback_long(1.5)  |  exit=time(3 bars),session_open|shallow_pullback_long|time_exit|long,5,10.9,False,4,10,105,0,0.0,0.0,0.0,19,66.0,2.73,0.47,50,5.1,1.3,0.43,0,0.0,,,22,-1.9,0.28,-1.61,1,3.3,999.0,,4,-0.6,0.42,-0.56,0,0.0,,,0,0.0,,,2,-1.7,0.37,-0.08,7,4.9,10.08,1.77
S8956874,SHORT: session_open + 3.0xATR(40)  |  filter=adx_trend(25)  |  exit=ATR stop 2.0x / target 1.5x,session_open|adx_trend|atr_stop_target|short,6,10.9,False,4,10,67,0,0.0,0.0,0.0,10,-31.6,0.36,-0.43,32,3.1,1.23,0.39,0,0.0,,,11,-0.6,0.59,-0.62,1,2.4,999.0,,3,-0.3,0.84,-0.1,6,-6.9,0.36,-0.2,2,0.0,1.05,0.02,0,0.0,,,2,1.8,999.0,17.05
S3780732,LONG: highest_high_10 + 3.0xATR(10)  |  filter=adx_below(45)  |  exit=EOD (close at end of session),highest_high_10|adx_below|eod_exit|long,4,10.9,False,4,10,100,0,0.0,0.0,0.0,6,-13.8,0.12,-0.36,11,-0.3,0.96,-0.04,2,-0.2,0.32,-0.15,8,0.7,1.89,0.52,1,0.1,999.0,,10,-0.1,0.96,-0.04,0,0.0,,,2,0.6,999.0,5.43,56,0.0,999.0,,4,3.8,11.46,1.54
S7095477,LONG: prev_close + 1.5xATR(10)  |  filter=time_window_close  |  exit=EOD (close at end of session),prev_close|time_window_close|eod_exit|long,4,10.9,False,4,10,139,0,0.0,0.0,0.0,0,0.0,,,89,1.7,1.07,0.14,0,0.0,,,38,1.6,1.58,0.62,0,0.0,,,4,1.0,7.25,1.02,0,0.0,,,4,-0.9,0.13,-1.05,0,0.0,,,4,2.6,4.37,0.79
